https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1600560000000,2020-09-20 00:00:00,DAI/USD,1.0141,1.016,1.0109,1.0137,75767.58202580984,74743.59477736
1600473600000,2020-09-19 00:00:00,DAI/USD,1.0201,1.0239,1.0116,1.0122,59802.872090390985,59082.07082631
1600387200000,2020-09-18 00:00:00,DAI/USD,1.0219,1.0265,1.0182,1.0201,123867.06093017815,121426.3904815
1600300800000,2020-09-17 00:00:00,DAI/USD,1.0235,1.024,1.0162,1.021,76880.81298092735,75299.52299797
1600214400000,2020-09-16 00:00:00,DAI/USD,1.0223,1.0271,1.016,1.0233,204837.83234864188,200173.78320008
1600128000000,2020-09-15 00:00:00,DAI/USD,1.0403,1.0449,1.0214,1.0223,91267.80381096542,89276.92830966
1600041600000,2020-09-14 00:00:00,DAI/USD,1.0234,1.047,1.0232,1.0347,121077.64028789206,117017.14534444
1599955200000,2020-09-13 00:00:00,DAI/USD,1.0303,1.0309,1.0206,1.0232,79079.41880197744,77286.3749042
1599868800000,2020-09-12 00:00:00,DAI/USD,1.0371,1.041,1.0297,1.0319,60525.413517717054,58654.3400695
1599782400000,2020-09-11 00:00:00,DAI/USD,1.0349,1.0384,1.029,1.0384,34609.38951655715,33329.53535878
1599696000000,2020-09-10 00:00:00,DAI/USD,1.0302,1.0349,1.0239,1.0336,126027.90652879892,121931.02411842
1599609600000,2020-09-09 00:00:00,DAI/USD,1.0256,1.0315,1.0181,1.0315,115876.588250639,112337.94304473
1599523200000,2020-09-08 00:00:00,DAI/USD,1.0294,1.031,1.0241,1.0265,154980.74280280463,150979.77866809999
1599436800000,2020-09-07 00:00:00,DAI/USD,1.0191,1.0295,1.0131,1.0276,101210.31499605553,98491.93752049
1599350400000,2020-09-06 00:00:00,DAI/USD,1.02,1.0299,1.015,1.0209,114745.8027138738,112396.71144468
1599264000000,2020-09-05 00:00:00,DAI/USD,1.0212,1.0306,1.0134,1.0186,697303.2535101655,684570.2469175
1599177600000,2020-09-04 00:00:00,DAI/USD,1.0096,1.0234,1.004,1.0193,367084.5329028926,360133.94771205
1599091200000,2020-09-03 00:00:00,DAI/USD,1.0101,1.0139,1.004,1.0093,295415.198758449,292693.15244075
1599004800000,2020-09-02 00:00:00,DAI/USD,1.02,1.0247,1.0081,1.0102,909930.52667359,902619.31026048
1598918400000,2020-09-01 00:00:00,DAI/USD,1.0168,1.0232,1.0128,1.0179999999999998,312982.11497726047,309026.57481957
1598832000000,2020-08-31 00:00:00,DAI/USD,1.0185,1.0267,1.0109,1.0179999999999998,436283.8696766739,431579.65147559
1598745600000,2020-08-30 00:00:00,DAI/USD,1.0154,1.0253999999999999,1.009,1.0185999999999997,183660.79893411553,182022.59557395
1598659200000,2020-08-29 00:00:00,DAI/USD,1.0145,1.0168999999999997,1.0114,1.0149,21713.43096349157,21468.68792119
