https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume NEO
1601769600000,2020-10-04 00:00:00,NEO/USD,17.806,18.17,17.439,18.13,401649.99567508826,22153.88834391
1601683200000,2020-10-03 00:00:00,NEO/USD,18.147,18.329,17.733,17.823,213201.37347743326,11962.14854275
1601596800000,2020-10-02 00:00:00,NEO/USD,18.81,19.097,17.354,18.146,1315543.8058844118,72497.72985145
1601510400000,2020-10-01 00:00:00,NEO/USD,19.208,20.373,18.206,18.827,1479396.2567324308,78578.43823936
1601424000000,2020-09-30 00:00:00,NEO/USD,19.721,20.073,18.801,19.074,1059468.6334996857,55545.17319386
1601337600000,2020-09-29 00:00:00,NEO/USD,20.128,20.342,19.071,19.747,970060.5180689896,49124.45019846
1601251200000,2020-09-28 00:00:00,NEO/USD,21.292,21.55,19.932,20.229,933310.1368461564,46137.23549588
1601164800000,2020-09-27 00:00:00,NEO/USD,21.084,21.999,20.584,21.269,4640957.372559895,218202.89494381
1601078400000,2020-09-26 00:00:00,NEO/USD,21.426,22.465,20.6,21.083,702845.1522288367,33337.05602755
1600992000000,2020-09-25 00:00:00,NEO/USD,21.8,23.2,20.863,21.339,1746472.4630157482,81844.1568497
1600905600000,2020-09-24 00:00:00,NEO/USD,19.754,22.07986932,19.483,21.8,710663.3650042401,32599.2369268
1600819200000,2020-09-23 00:00:00,NEO/USD,20.191,21.8,18.857,19.628,2007794.9933545596,102292.38808613
1600732800000,2020-09-22 00:00:00,NEO/USD,20.135,20.719,18.605,20.239,1186156.2292373432,58607.45240562
1600646400000,2020-09-21 00:00:00,NEO/USD,23.498,24.439,19.749,20.081,2213620.4236418777,110234.57116886
1600560000000,2020-09-20 00:00:00,NEO/USD,24.71,25.604,22.82,23.58272623,1271234.1479890526,53905.30914835
1600473600000,2020-09-19 00:00:00,NEO/USD,25.269,25.269,23.723,24.71,1269196.7231396474,51363.68770294
1600387200000,2020-09-18 00:00:00,NEO/USD,23.741,25.9,23.171,25.32,2384217.3690900854,94163.40320261
1600300800000,2020-09-17 00:00:00,NEO/USD,21.007,24.378,20.728,23.784,2211170.1533004763,92968.80900187
1600214400000,2020-09-16 00:00:00,NEO/USD,20.243,21.8,19.5,21.006,883469.5000499578,42057.95963296
1600128000000,2020-09-15 00:00:00,NEO/USD,22.071,22.409,20.166,20.244,892672.5314097267,44095.65952429
1600041600000,2020-09-14 00:00:00,NEO/USD,20.384,22.5,19.562,22.03,1030786.4830122289,46790.12632829
1599955200000,2020-09-13 00:00:00,NEO/USD,21.642,22.063,19.288,20.3,1532192.463800488,75477.46127096
1599868800000,2020-09-12 00:00:00,NEO/USD,20.374,21.843,19.778,21.733,651481.9866543046,29976.62479429
1599782400000,2020-09-11 00:00:00,NEO/USD,18.447,20.636,18.195,20.371,1037400.9909742067,50925.38368142
1599696000000,2020-09-10 00:00:00,NEO/USD,17.443,18.629,17.416,18.466,311453.31928014854,16866.31210225
1599609600000,2020-09-09 00:00:00,NEO/USD,17.002,17.979,16.736,17.38,139701.1761384162,8038.04235549
1599523200000,2020-09-08 00:00:00,NEO/USD,18.28,18.67,16.555,17.007,615901.6794005859,36214.59865941
1599436800000,2020-09-07 00:00:00,NEO/USD,17.169,18.28,15.932,18.202,584123.7728571328,32091.18629036
1599350400000,2020-09-06 00:00:00,NEO/USD,16.832,17.73,16.288,17.223,368447.451707555,21392.75687787
1599264000000,2020-09-05 00:00:00,NEO/USD,18.992,19.373,16.276,16.925,905743.8899306013,53515.14859265
1599177600000,2020-09-04 00:00:00,NEO/USD,17.724,19.786,17.301,18.956,1188637.7998188406,62705.09600226
1599091200000,2020-09-03 00:00:00,NEO/USD,20.265,20.631,17.394,17.736999999999995,808347.6388118648,46472.78594986
1599004800000,2020-09-02 00:00:00,NEO/USD,21.551,21.755000000000003,19.403,20.335,1227839.7748413482,63280.92433342
1598918400000,2020-09-01 00:00:00,NEO/USD,20.492,22.551000000000002,20.113,21.604,1001260.4323625576,49781.75470405
1598832000000,2020-08-31 00:00:00,NEO/USD,20.746,21.608,20.218,20.483999999999998,801191.045383697,39627.61130595
1598745600000,2020-08-30 00:00:00,NEO/USD,21.174,22.871,20.321,20.681,2100408.1047622534,103361.45390297
1598659200000,2020-08-29 00:00:00,NEO/USD,18.308,21.940000000000005,18.022,21.193999999999996,4007931.3829112817,222391.043331
1598572800000,2020-08-28 00:00:00,NEO/USD,17.685,18.600000000000005,17.365,18.331,527933.3171363332,30402.14898568
1598486400000,2020-08-27 00:00:00,NEO/USD,17.545,18.101,16.664,17.655,903438.0625236143,54214.95814472
1598400000000,2020-08-26 00:00:00,NEO/USD,16.961,18.110999999999997,16.85,17.324999999999996,839110.0950700621,49798.81869852
1598313600000,2020-08-25 00:00:00,NEO/USD,18.103,18.269,16.158,17.050999999999995,993055.7466313012,61459.07579102
1598227200000,2020-08-24 00:00:00,NEO/USD,18.178,19.47316244,17.937,18.142999999999997,1125584.1467933636,62752.08489677
1598140800000,2020-08-23 00:00:00,NEO/USD,18.981,19.744,17.765,18.244,1194092.6450165962,67216.02279857
1598054400000,2020-08-22 00:00:00,NEO/USD,16.399,19.144999999999996,15.679000000000002,18.911,1240609.3706794772,79125.54185085
1597968000000,2020-08-21 00:00:00,NEO/USD,17.878,19.769999999999996,16.399,16.399,2055205.0189365551,125325.02097302
1597881600000,2020-08-20 00:00:00,NEO/USD,15.888,17.983000000000004,15.887999999999998,17.885999999999996,750365.67281966,47228.45372732
1597795200000,2020-08-19 00:00:00,NEO/USD,16.147,17.075,15.508,15.854000000000003,615924.9447609289,39716.59432299
