https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USD
1475539200,2016-10-04 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1475452800,2016-10-03 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1475366400,2016-10-02 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1475280000,2016-10-01 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1475193600,2016-09-30 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1475107200,2016-09-29 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1475020800,2016-09-28 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1474934400,2016-09-27 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1474848000,2016-09-26 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1474761600,2016-09-25 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1474675200,2016-09-24 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1474588800,2016-09-23 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1474502400,2016-09-22 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1474416000,2016-09-21 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1474329600,2016-09-20 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1474243200,2016-09-19 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1474156800,2016-09-18 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1474070400,2016-09-17 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1473984000,2016-09-16 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1473897600,2016-09-15 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1473811200,2016-09-14 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1473724800,2016-09-13 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1473638400,2016-09-12 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1473552000,2016-09-11 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1473465600,2016-09-10 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1473379200,2016-09-09 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1473292800,2016-09-08 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1473206400,2016-09-07 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1473120000,2016-09-06 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1473033600,2016-09-05 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1472947200,2016-09-04 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1472860800,2016-09-03 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1472774400,2016-09-02 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1472688000,2016-09-01 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1472601600,2016-08-31 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1472515200,2016-08-30 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1472428800,2016-08-29 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1472342400,2016-08-28 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1472256000,2016-08-27 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1472169600,2016-08-26 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1472083200,2016-08-25 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1471996800,2016-08-24 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1471910400,2016-08-23 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1471824000,2016-08-22 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1471737600,2016-08-21 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1471651200,2016-08-20 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1471564800,2016-08-19 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1471478400,2016-08-18 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1471392000,2016-08-17 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1471305600,2016-08-16 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1471219200,2016-08-15 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1471132800,2016-08-14 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1471046400,2016-08-13 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1470960000,2016-08-12 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1470873600,2016-08-11 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1470787200,2016-08-10 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1470700800,2016-08-09 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1470614400,2016-08-08 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1470528000,2016-08-07 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1470441600,2016-08-06 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1470355200,2016-08-05 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1470268800,2016-08-04 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1470182400,2016-08-03 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1470096000,2016-08-02 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1470009600,2016-08-01 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1469923200,2016-07-31 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1469836800,2016-07-30 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1469750400,2016-07-29 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1469664000,2016-07-28 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1469577600,2016-07-27 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1469491200,2016-07-26 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1469404800,2016-07-25 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1469318400,2016-07-24 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1469232000,2016-07-23 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1469145600,2016-07-22 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1469059200,2016-07-21 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1468972800,2016-07-20 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1468886400,2016-07-19 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1468800000,2016-07-18 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1468713600,2016-07-17 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1468627200,2016-07-16 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1468540800,2016-07-15 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1468454400,2016-07-14 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1468368000,2016-07-13 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1468281600,2016-07-12 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1468195200,2016-07-11 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1468108800,2016-07-10 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1468022400,2016-07-09 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1467936000,2016-07-08 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1467849600,2016-07-07 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1467763200,2016-07-06 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1467676800,2016-07-05 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1467590400,2016-07-04 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1467504000,2016-07-03 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1467417600,2016-07-02 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1467331200,2016-07-01 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1467244800,2016-06-30 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1467158400,2016-06-29 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1467072000,2016-06-28 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1466985600,2016-06-27 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1466899200,2016-06-26 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1466812800,2016-06-25 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1466726400,2016-06-24 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1466640000,2016-06-23 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1466553600,2016-06-22 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1466467200,2016-06-21 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1466380800,2016-06-20 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1466294400,2016-06-19 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1466208000,2016-06-18 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1466121600,2016-06-17 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1466035200,2016-06-16 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1465948800,2016-06-15 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1465862400,2016-06-14 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1465776000,2016-06-13 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1465689600,2016-06-12 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1465603200,2016-06-11 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1465516800,2016-06-10 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1465430400,2016-06-09 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1465344000,2016-06-08 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1465257600,2016-06-07 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1465171200,2016-06-06 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1465084800,2016-06-05 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1464998400,2016-06-04 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1464912000,2016-06-03 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1464825600,2016-06-02 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1464739200,2016-06-01 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1464652800,2016-05-31 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1464566400,2016-05-30 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1464480000,2016-05-29 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1464393600,2016-05-28 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1464307200,2016-05-27 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1464220800,2016-05-26 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1464134400,2016-05-25 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1464048000,2016-05-24 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1463961600,2016-05-23 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1463875200,2016-05-22 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1463788800,2016-05-21 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1463702400,2016-05-20 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1463616000,2016-05-19 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1463529600,2016-05-18 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1463443200,2016-05-17 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1463356800,2016-05-16 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1463270400,2016-05-15 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1463184000,2016-05-14 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
1463097600,2016-05-13 00:00:00,DASH/USD,0.0,0.0,0.0,0.0,0.0,0.0
