https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume QTUM
1566691200,2019-08-25 00:00:00,QTUM/USD,2.554,2.608,2.437,2.531,16393.2,6404.59
1566604800,2019-08-24 00:00:00,QTUM/USD,2.619,2.664,2.498,2.554,13577.0,5304.51
1566518400,2019-08-23 00:00:00,QTUM/USD,2.545,2.635,2.508,2.619,46847.06,18266.1
1566432000,2019-08-22 00:00:00,QTUM/USD,2.482,2.607,2.389,2.545,10569.18,4200.79
1566345600,2019-08-21 00:00:00,QTUM/USD,2.621,2.621,2.415,2.482,10801.66,4321.84
1566259200,2019-08-20 00:00:00,QTUM/USD,2.69,2.733,2.531,2.621,13908.21,5435.55
1566172800,2019-08-19 00:00:00,QTUM/USD,2.556,2.74,2.536,2.69,22739.72,8433.34
1566086400,2019-08-18 00:00:00,QTUM/USD,2.43,2.693,2.417,2.556,15714.89,6141.49
1566000000,2019-08-17 00:00:00,QTUM/USD,2.316,2.447,2.287,2.43,4105.46,1738.75
1565913600,2019-08-16 00:00:00,QTUM/USD,2.384,2.384,2.24,2.316,10094.92,4411.81
1565827200,2019-08-15 00:00:00,QTUM/USD,2.342,2.416,2.212,2.384,104988.44,44755.39
1565740800,2019-08-14 00:00:00,QTUM/USD,2.639,2.659,2.342,2.342,39348.16,15747.74
1565654400,2019-08-13 00:00:00,QTUM/USD,2.716,2.716,2.579,2.639,16537.99,6318.44
1565568000,2019-08-12 00:00:00,QTUM/USD,2.772,2.772,2.689,2.716,2656.32,971.44
1565481600,2019-08-11 00:00:00,QTUM/USD,2.634,2.845,2.634,2.772,6537.06,2377.16
1565395200,2019-08-10 00:00:00,QTUM/USD,2.625,2.719,2.58,2.634,8146.69,3094.66
1565308800,2019-08-09 00:00:00,QTUM/USD,2.787,2.797,2.589,2.625,21060.26,7914.62
1565222400,2019-08-08 00:00:00,QTUM/USD,2.919,2.919,2.695,2.787,135067.8,47986.5
1565136000,2019-08-07 00:00:00,QTUM/USD,2.92,2.987,2.891,2.919,22317.44,7657.53
1565049600,2019-08-06 00:00:00,QTUM/USD,3.136,3.136,2.92,2.92,133693.17,44145.91
1564963200,2019-08-05 00:00:00,QTUM/USD,3.031,3.186,3.031,3.136,36546.69,11769.72
1564876800,2019-08-04 00:00:00,QTUM/USD,3.059,3.075,2.974,3.031,7329.71,2439.04
1564790400,2019-08-03 00:00:00,QTUM/USD,2.976,3.089,2.976,3.059,9519.93,3110.89
1564704000,2019-08-02 00:00:00,QTUM/USD,3.039,3.069,2.976,2.976,14334.23,4744.0
1564617600,2019-08-01 00:00:00,QTUM/USD,3.049,3.055,2.945,3.039,7793.3,2608.36
1564531200,2019-07-31 00:00:00,QTUM/USD,2.88,3.111,2.88,3.049,25187.05,8326.5
1564444800,2019-07-30 00:00:00,QTUM/USD,2.883,2.924,2.827,2.88,4131.75,1436.35
1564358400,2019-07-29 00:00:00,QTUM/USD,2.916,2.936,2.826,2.883,7067.4,2447.0
1564272000,2019-07-28 00:00:00,QTUM/USD,2.89,2.916,2.76,2.916,72253.39,25395.96
1564185600,2019-07-27 00:00:00,QTUM/USD,3.088,3.155,2.824,2.89,25483.65,8599.54
1564099200,2019-07-26 00:00:00,QTUM/USD,3.094,3.094,2.972,3.088,7915.15,2616.42
1564012800,2019-07-25 00:00:00,QTUM/USD,2.945,3.196,2.945,3.094,114453.92,36919.95
1563926400,2019-07-24 00:00:00,QTUM/USD,2.853,2.999,2.712,2.945,18778.37,6615.51
1563840000,2019-07-23 00:00:00,QTUM/USD,3.036,3.036,2.843,2.853,39715.3,13690.71
1563753600,2019-07-22 00:00:00,QTUM/USD,3.234,3.245,2.987,3.036,22563.19,7246.79
1563667200,2019-07-21 00:00:00,QTUM/USD,3.279,3.353,3.115,3.234,17756.0,5481.64
1563580800,2019-07-20 00:00:00,QTUM/USD,3.177,3.401,2.53,3.279,79451.31,24858.93
1563494400,2019-07-19 00:00:00,QTUM/USD,3.092,3.189,2.942,3.177,23939.13,7954.85
1563408000,2019-07-18 00:00:00,QTUM/USD,2.796,3.118,2.726,3.092,62735.0,21336.73
1563321600,2019-07-17 00:00:00,QTUM/USD,2.695,2.923,2.53,2.796,68594.03,24862.3
1563235200,2019-07-16 00:00:00,QTUM/USD,3.221,3.221,2.637,2.695,110973.43,38860.04
1563148800,2019-07-15 00:00:00,QTUM/USD,3.042,3.313,2.842,3.221,83156.45,27188.46
