https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EOS
1602460800000,2020-10-12 00:00:00,EOS/USD,2.6614,2.6888,2.6128,2.65,1655262.8519470138,624627.49130076
1602374400000,2020-10-11 00:00:00,EOS/USD,2.6457,2.6906896,2.6151,2.66149332,1244458.3890290156,467579.00148666
1602288000000,2020-10-10 00:00:00,EOS/USD,2.6459,2.7245,2.6378,2.6418,2345843.2297141743,887971.54580747
1602201600000,2020-10-09 00:00:00,EOS/USD,2.6086,2.6612,2.586,2.648,1238685.749665784,467781.62751729
1602115200000,2020-10-08 00:00:00,EOS/USD,2.6523,2.66,2.4901,2.6103,5386942.722211323,2063725.51898683
1602028800000,2020-10-07 00:00:00,EOS/USD,2.6987,2.7182,2.5932,2.649,3238665.275028783,1222599.19782136
1601942400000,2020-10-06 00:00:00,EOS/USD,2.532,2.9778,2.4899,2.6962,13900643.686188309,5155642.64008171
1601856000000,2020-10-05 00:00:00,EOS/USD,2.5206,2.5416,2.495699,2.53,661455.0222483884,261444.67282545
1601769600000,2020-10-04 00:00:00,EOS/USD,2.4773,2.5388,2.4701,2.5196,793145.437703819,314790.21975862
1601683200000,2020-10-03 00:00:00,EOS/USD,2.4851,2.5057,2.4735,2.4819,269177.55087059195,108456.24355155
1601596800000,2020-10-02 00:00:00,EOS/USD,2.5478,2.5618,2.4205,2.4811,2440006.3661996084,983437.33271517
1601510400000,2020-10-01 00:00:00,EOS/USD,2.5837,2.631,2.4883,2.5501,2905131.240566862,1139222.47777219
1601424000000,2020-09-30 00:00:00,EOS/USD,2.604,2.604,2.56083924,2.5798,487310.98223410477,188894.86868521
1601337600000,2020-09-29 00:00:00,EOS/USD,2.564,2.6072,2.5582,2.605,569513.2909313012,218623.14431144
1601251200000,2020-09-28 00:00:00,EOS/USD,2.5983,2.6382,2.5581,2.5664,1176975.8406424574,458609.66359198
1601164800000,2020-09-27 00:00:00,EOS/USD,2.5738,2.607,2.5296,2.595,625534.4122963867,241053.72342828
1601078400000,2020-09-26 00:00:00,EOS/USD,2.5529,2.611,2.5117,2.5708,1140180.3001639587,443511.86407498
1600992000000,2020-09-25 00:00:00,EOS/USD,2.5382,2.566,2.4671,2.5488,1584475.2630951912,621655.3919865
1600905600000,2020-09-24 00:00:00,EOS/USD,2.4467,2.5654,2.4299,2.537,845660.9778668478,333331.09099994
1600819200000,2020-09-23 00:00:00,EOS/USD,2.57342396,2.5824,2.3925,2.4442,1615912.3221361535,661121.15298918
