https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1603411200000,2020-10-23 00:00:00,OMG/USD,3.4963,3.6562,3.3897,3.5318,1020752.0854132677,289017.52234364
1603324800000,2020-10-22 00:00:00,OMG/USD,3.2673,3.593,3.2648,3.497,1062646.9982041186,303873.8913938
1603238400000,2020-10-21 00:00:00,OMG/USD,3.1241,3.4299,3.1124,3.2693,905881.7867708093,277087.38469116
1603152000000,2020-10-20 00:00:00,OMG/USD,3.3692,3.392,3.0724,3.1311,706675.2104834153,225695.50971972
1603065600000,2020-10-19 00:00:00,OMG/USD,3.4187,3.51,3.2579,3.3689,480213.2027339199,142543.02672502
1602979200000,2020-10-18 00:00:00,OMG/USD,3.2553,3.4555,3.2544,3.4081,641854.8230574962,188332.15664373
1602892800000,2020-10-17 00:00:00,OMG/USD,3.23,3.3129,3.1379,3.2582,489140.2852035732,150125.92388545
1602806400000,2020-10-16 00:00:00,OMG/USD,3.4318,3.5086,3.224,3.2299,589824.9850060475,182614.0081755
1602720000000,2020-10-15 00:00:00,OMG/USD,3.3357,3.5177,3.2283,3.4263,732576.1291399497,213809.68658318
1602633600000,2020-10-14 00:00:00,OMG/USD,3.5348,3.5619,3.2643,3.3357,791173.6448745287,237183.69304030002
1602547200000,2020-10-13 00:00:00,OMG/USD,3.6461,3.6658,3.4531,3.5377,773900.4214395118,218758.06920867
1602460800000,2020-10-12 00:00:00,OMG/USD,3.6542,3.7437,3.5112,3.6414,1132672.594108792,311054.15337749
1602374400000,2020-10-11 00:00:00,OMG/USD,3.6376,3.7911,3.5308,3.655,1934267.9473279002,529211.4766971
1602288000000,2020-10-10 00:00:00,OMG/USD,3.492,3.9,3.4893,3.6265,2531808.654143322,698141.0875895
1602201600000,2020-10-09 00:00:00,OMG/USD,3.3728,3.6113,3.2708,3.5007,1122732.5449272138,320716.5838053
1602115200000,2020-10-08 00:00:00,OMG/USD,3.2542,3.472,3.0265,3.3828,2653935.5856790417,784538.12985664
1602028800000,2020-10-07 00:00:00,OMG/USD,3.3641,3.3832,3.0901,3.2584,1628394.1972801944,499752.6998773
1601942400000,2020-10-06 00:00:00,OMG/USD,3.8153,3.8153,3.2771,3.3742,2007465.986441366,594945.76090373
1601856000000,2020-10-05 00:00:00,OMG/USD,3.6547,3.915,3.6547,3.8131,1786674.7607529312,468562.26187431
1601769600000,2020-10-04 00:00:00,OMG/USD,3.7286,3.7516,3.51,3.6469,1787215.9603289322,490064.42741203
1601683200000,2020-10-03 00:00:00,OMG/USD,3.7901,3.8965,3.7118,3.7341,909536.8062040716,243575.91018025
1601596800000,2020-10-02 00:00:00,OMG/USD,4.02,4.272,3.575,3.799,4023224.8067040173,1059022.06020111
1601510400000,2020-10-01 00:00:00,OMG/USD,4.0403,4.4,3.8095,4.0201,3438513.816283046,855330.41871671
1601424000000,2020-09-30 00:00:00,OMG/USD,4.119,4.1316,3.8433,4.0357,2114890.4234539536,524045.49977797
1601337600000,2020-09-29 00:00:00,OMG/USD,3.7706,4.4382,3.7498,4.1135,5874037.267585818,1427990.09786941
1601251200000,2020-09-28 00:00:00,OMG/USD,3.096,4.3023,3.096,3.7642,7844995.7442723485,2084107.04645671
1601164800000,2020-09-27 00:00:00,OMG/USD,3.1041,3.1222,2.9724,3.0944,777803.6191735963,251358.46017761
1601078400000,2020-09-26 00:00:00,OMG/USD,3.1614,3.2035,3.0349,3.0984,910012.424476541,293703.98414554
1600992000000,2020-09-25 00:00:00,OMG/USD,3.1215,3.25,2.9495,3.1518,1011016.5920351368,320774.34863733
1600905600000,2020-09-24 00:00:00,OMG/USD,2.7482,3.1613,2.7266,3.1156,1666528.3334017238,534898.03999285
1600819200000,2020-09-23 00:00:00,OMG/USD,3.2278,3.2278,2.7036,2.753,2491526.5596544407,905022.36093514
1600732800000,2020-09-22 00:00:00,OMG/USD,2.5615,3.2743,2.54,3.229,1924635.6377949761,596046.96122483
1600646400000,2020-09-21 00:00:00,OMG/USD,2.8954,2.952,2.5,2.5565,1756521.2481662733,687080.48040926
1600560000000,2020-09-20 00:00:00,OMG/USD,3.072,3.1246,2.8083,2.8965,643153.6221447359,222045.09654574
1600473600000,2020-09-19 00:00:00,OMG/USD,3.0362,3.1583,2.9703,3.0741,1278917.5274737943,416029.90386578
1600387200000,2020-09-18 00:00:00,OMG/USD,3.2905,3.4501,2.9531,3.0334,1693384.9387478265,558246.50186188
1600300800000,2020-09-17 00:00:00,OMG/USD,3.422,3.5664,3.2253,3.2917,1322308.6283518043,401709.94572768
1600214400000,2020-09-16 00:00:00,OMG/USD,3.4552,3.5643,3.3237,3.4223,694419.3575610033,202910.13574526
1600128000000,2020-09-15 00:00:00,OMG/USD,3.8477,3.8633,3.46,3.4668,1083725.5511271637,312601.11662835
1600041600000,2020-09-14 00:00:00,OMG/USD,3.8248,3.99,3.7,3.8339,2061225.8835974243,537631.62408968
1599955200000,2020-09-13 00:00:00,OMG/USD,4.1244,4.1471,3.67,3.8428,1766859.9337632256,459784.51487541
1599868800000,2020-09-12 00:00:00,OMG/USD,3.8446,4.2,3.7656,4.1321,2586967.446896044,626066.03104863
