https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XVG
1603152000000,2020-10-20 00:00:00,XVG/USD,0.0046192,0.0046974,0.0043269,0.0043269,193.9801331107195,44831.20319645
1603065600000,2020-10-19 00:00:00,XVG/USD,0.0043956,0.0044833,0.0043135,0.0044802,759.4332467020323,169508.78235392
1602979200000,2020-10-18 00:00:00,XVG/USD,0.0044,0.0044,0.0043782,0.0043828,244.44185030178477,55772.9876567
1602892800000,2020-10-17 00:00:00,XVG/USD,0.004275,0.0044,0.0042664,0.0043454,1099.9274757830071,253124.56293621002
1602806400000,2020-10-16 00:00:00,XVG/USD,0.0043295,0.0043676,0.0042652,0.0042706,532.5499364292514,124701.43221778
1602720000000,2020-10-15 00:00:00,XVG/USD,0.004404,0.004492,0.0042485,0.0044097,540.2426185347592,122512.32930466
1602633600000,2020-10-14 00:00:00,XVG/USD,0.0044863,0.0045539,0.0044756,0.0044756,35.68195904073855,7972.55318633
1602547200000,2020-10-13 00:00:00,XVG/USD,0.0044674,0.0044674,0.0044657,0.0044657,129.14386559527205,28919.06433376
1602460800000,2020-10-12 00:00:00,XVG/USD,0.004397,0.0046233,0.004397,0.0044475,1545.3952343677668,347475.03864368
1602374400000,2020-10-11 00:00:00,XVG/USD,0.0043238,0.0045298,0.0043238,0.0043918,1755.8323682847638,399797.88885759
1602288000000,2020-10-10 00:00:00,XVG/USD,0.0042848,0.0045234,0.0042844,0.0042844,2595.773760225329,605866.34306445
1602201600000,2020-10-09 00:00:00,XVG/USD,0.0042276,0.0043725,0.0041459,0.0043217,178.60446975652368,41327.36417533
1602115200000,2020-10-08 00:00:00,XVG/USD,0.004035,0.0041989,0.0040224,0.0041557,862.8904910075792,207640.22691907
1602028800000,2020-10-07 00:00:00,XVG/USD,0.0040365,0.0040495,0.0037855,0.0039841,551.3798007189735,138395.07058532
1601942400000,2020-10-06 00:00:00,XVG/USD,0.0043135,0.00449,0.0040466,0.0040466,412.62731279114706,101968.89062204
1601856000000,2020-10-05 00:00:00,XVG/USD,0.0040646,0.0043939,0.0040641,0.0043606,1424.2746454572355,326623.54846976
1601769600000,2020-10-04 00:00:00,XVG/USD,0.0039657,0.00397,0.0039657,0.00397,49.17416479197399,12386.4394942
1601683200000,2020-10-03 00:00:00,XVG/USD,0.0040157,0.0040256,0.0039693,0.0039945,26.293810551108898,6582.5035802
1601596800000,2020-10-02 00:00:00,XVG/USD,0.004175,0.0042022,0.0039758,0.0039895,1175.3914757610119,294621.24972077
1601510400000,2020-10-01 00:00:00,XVG/USD,0.0042417,0.0042748,0.0042417,0.0042562,263.52747634354057,61916.14029969
1601424000000,2020-09-30 00:00:00,XVG/USD,0.0042619,0.00435,0.0041323,0.0041922,984.5056420582936,234842.24084211
1601337600000,2020-09-29 00:00:00,XVG/USD,0.0041925,0.0042655,0.0041925,0.0042655,50.90556439691958,11934.25492836
1601251200000,2020-09-28 00:00:00,XVG/USD,0.0042761,0.0043215,0.0042719,0.0043215,804.2042130619398,186093.76676199
1601164800000,2020-09-27 00:00:00,XVG/USD,0.0041409,0.0041409,0.0041078,0.0041078,253.21299200268342,61641.996203
1601078400000,2020-09-26 00:00:00,XVG/USD,0.004304,0.004304,0.0041946,0.0042563,269.93338929854815,63419.7282378
1600992000000,2020-09-25 00:00:00,XVG/USD,0.0042781,0.0044797,0.0042781,0.0042917,612.0170458028646,142604.80597499
1600905600000,2020-09-24 00:00:00,XVG/USD,0.0039924,0.0039924,0.0039639,0.0039639,81.42184960887067,20540.84351494
1600819200000,2020-09-23 00:00:00,XVG/USD,0.00405,0.0040793,0.0038178,0.0038178,293.4106453550828,76853.3305451
1600732800000,2020-09-22 00:00:00,XVG/USD,0.0043152,0.0050659,0.0039883,0.0041076,4805.325149857062,1169861.99967306
1600646400000,2020-09-21 00:00:00,XVG/USD,0.0044189,0.0044189,0.00401,0.004085,1101.6712698743665,269686.96936949
1600560000000,2020-09-20 00:00:00,XVG/USD,0.0044443,0.0044443,0.004324,0.004324,78.7790589714333,18219.023813929998
1600473600000,2020-09-19 00:00:00,XVG/USD,0.0044271,0.0044271,0.0043436,0.0043436,75.05652329555201,17279.79632
1600387200000,2020-09-18 00:00:00,XVG/USD,0.0045383,0.0047889,0.0044299,0.0044306,197.17332128329735,44502.62295926
1600300800000,2020-09-17 00:00:00,XVG/USD,0.0045512,0.0047959,0.0043615,0.0045072,296.26792585608945,65732.14542423
1600214400000,2020-09-16 00:00:00,XVG/USD,0.0043,0.0043258,0.0043,0.0043258,283.74107780878217,65592.74072051
1600128000000,2020-09-15 00:00:00,XVG/USD,0.0046409,0.0046742,0.0043,0.004402,3013.9116288912887,684668.70261047
1600041600000,2020-09-14 00:00:00,XVG/USD,0.0045715,0.0046831,0.0045622,0.0046759,812.1270680072713,173683.58348281
1599955200000,2020-09-13 00:00:00,XVG/USD,0.0048014,0.0049995,0.004613,0.00462,379.0202979936912,82039.02553976
1599868800000,2020-09-12 00:00:00,XVG/USD,0.0048953,0.004964,0.0047859,0.0049534,278.13486206518604,56150.293145150004
1599782400000,2020-09-11 00:00:00,XVG/USD,0.0048481,0.0048481,0.0048481,0.0048481,29.0886,6000.0
1599696000000,2020-09-10 00:00:00,XVG/USD,0.0048565,0.0049387,0.0048565,0.0049059,786.4855313987266,160314.21989823
1599609600000,2020-09-09 00:00:00,XVG/USD,0.0046393,0.0048397,0.0044417,0.0048224,1791.796852425079,371557.07789173
1599523200000,2020-09-08 00:00:00,XVG/USD,0.0046631,0.004668,0.0043412,0.0043943,360.514602235508,82041.41779931
