https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETP
1602892800000,2020-10-17 00:00:00,ETP/USD,0.14801,0.15488,0.14801,0.1485,6698.863167965595,45110.18968327
1602806400000,2020-10-16 00:00:00,ETP/USD,0.15222,0.15396,0.148,0.14801,1798.2955361686857,12149.82458056
1602720000000,2020-10-15 00:00:00,ETP/USD,0.156,0.15709,0.14801,0.15222,10778.750500718763,70810.34358638
1602633600000,2020-10-14 00:00:00,ETP/USD,0.15961,0.16197,0.15599,0.156,5076.83835086688,32543.835582480002
1602547200000,2020-10-13 00:00:00,ETP/USD,0.17067,0.17067,0.15551,0.15961,6389.742005121142,40033.46911297
1602460800000,2020-10-12 00:00:00,ETP/USD,0.16315,0.1727,0.16313,0.1642,7173.885274923636,43689.92250258
1602374400000,2020-10-11 00:00:00,ETP/USD,0.16631,0.16747,0.1625,0.1633,1921.1616885378492,11764.61536153
1602288000000,2020-10-10 00:00:00,ETP/USD,0.16897,0.17199,0.16251,0.16646,7108.2641219306115,42702.53587607
1602201600000,2020-10-09 00:00:00,ETP/USD,0.16656,0.1695,0.162,0.16552,4536.459542482797,27407.31961384
1602115200000,2020-10-08 00:00:00,ETP/USD,0.16789,0.1695,0.161,0.16499,2099.0012548456393,12721.99075608
1602028800000,2020-10-07 00:00:00,ETP/USD,0.16445,0.17024,0.1603,0.16213,5133.652065689185,31663.80105896
1601942400000,2020-10-06 00:00:00,ETP/USD,0.1693,0.17199,0.1639,0.1639,9317.850520210188,56850.82684692
1601856000000,2020-10-05 00:00:00,ETP/USD,0.16901,0.17589,0.16862,0.1692,1166.209889838192,6892.493438760001
1601769600000,2020-10-04 00:00:00,ETP/USD,0.16862,0.17312,0.16862,0.16901,2642.063729266847,15632.58818571
1601683200000,2020-10-03 00:00:00,ETP/USD,0.17047,0.17569,0.16835,0.16862,2305.809978767424,13674.5936352
1601596800000,2020-10-02 00:00:00,ETP/USD,0.172,0.1759,0.1681,0.17047,5788.5363357695305,33956.33446219
1601510400000,2020-10-01 00:00:00,ETP/USD,0.172,0.17667,0.17194,0.17219,2842.9938378650177,16510.79527188
1601424000000,2020-09-30 00:00:00,ETP/USD,0.17889,0.17999,0.17141,0.1747,3317.7570245375377,18991.16785654
1601337600000,2020-09-29 00:00:00,ETP/USD,0.16959,0.1799,0.16513,0.17932,15029.021350092093,83811.18308104
1601251200000,2020-09-28 00:00:00,ETP/USD,0.17338,0.18305,0.16959,0.16959,30325.223263532185,178814.92578296
1601164800000,2020-09-27 00:00:00,ETP/USD,0.1765,0.1794,0.17328,0.17328,1526.7517297103807,8810.89410036
1601078400000,2020-09-26 00:00:00,ETP/USD,0.1777,0.18476,0.1777,0.18399,5087.489776962557,27650.90372826
1600992000000,2020-09-25 00:00:00,ETP/USD,0.1731,0.17866,0.17106,0.1777,3412.9793773753304,19206.411802900002
1600905600000,2020-09-24 00:00:00,ETP/USD,0.17806,0.179,0.1696,0.173,6604.98666924365,38179.11369505
1600819200000,2020-09-23 00:00:00,ETP/USD,0.186,0.191,0.16968,0.17989,26784.28692914544,148892.58396323
1600732800000,2020-09-22 00:00:00,ETP/USD,0.18561,0.19164,0.18212,0.18997,3280.423388025193,17268.11279689
1600646400000,2020-09-21 00:00:00,ETP/USD,0.2088,0.21217,0.181,0.18561,38238.04977705129,206012.87526023
1600560000000,2020-09-20 00:00:00,ETP/USD,0.20967,0.20967,0.205,0.2051,3824.7539147760463,18648.23946746
1600473600000,2020-09-19 00:00:00,ETP/USD,0.2105,0.2105,0.205,0.21,13183.6649742042,62779.35702002
