https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1605052800000,2020-11-11 00:00:00,REP/USD,14.156,14.45,13.864,14.45,290.5353059975,20.10624955
1604966400000,2020-11-10 00:00:00,REP/USD,13.536,15.458,13.536,13.542,187.80569485811998,13.86838686
1604793600000,2020-11-08 00:00:00,REP/USD,13.35,13.424,12.843,12.916,76.63532051196,5.93336331
1604707200000,2020-11-07 00:00:00,REP/USD,13.924,14.037,12.754,12.754,171.3416865083,13.43434895
1604620800000,2020-11-06 00:00:00,REP/USD,13.687,13.803,12.558,13.789,277.07083420737,20.09361333
1604534400000,2020-11-05 00:00:00,REP/USD,12.572,16.0,12.464,12.992,105.33227050752001,8.10747156
1604448000000,2020-11-04 00:00:00,REP/USD,12.88,12.933,12.88,12.933,32.487491529269995,2.5119841899999997
1604361600000,2020-11-03 00:00:00,REP/USD,12.744,13.242,12.193,13.102,186.45764961732,14.23123566
1604275200000,2020-11-02 00:00:00,REP/USD,12.703,12.703,11.754,11.932,74.98202784428,6.2841122899999995
1604188800000,2020-11-01 00:00:00,REP/USD,11.917,12.23,11.601,11.722,36.553580848539994,3.1183740699999998
1604102400000,2020-10-31 00:00:00,REP/USD,12.416,12.416,11.555,11.601,250.70373927234,21.61052834
1604016000000,2020-10-30 00:00:00,REP/USD,12.172,12.172,12.172,12.172,11.99326014428,0.98531549
1603929600000,2020-10-29 00:00:00,REP/USD,12.711,13.324,12.497,12.497,724.4360039965101,57.968792830000005
1603843200000,2020-10-28 00:00:00,REP/USD,12.55,12.55,12.091,12.091,168.83802272199998,13.963942
1603756800000,2020-10-27 00:00:00,REP/USD,12.941,13.24,12.491,12.954,142.2643035582,10.9822683
1603670400000,2020-10-26 00:00:00,REP/USD,13.438,13.438,12.722,12.722,13.66645799874,1.07423817
1603584000000,2020-10-25 00:00:00,REP/USD,13.332,13.332,13.032,13.032,82.76329289304,6.35077447
1603497600000,2020-10-24 00:00:00,REP/USD,13.519,13.519,13.3,13.3,72.03362486600001,5.41606202
1603324800000,2020-10-22 00:00:00,REP/USD,13.438,13.438,13.438,13.438,23.469467,1.7465
1603238400000,2020-10-21 00:00:00,REP/USD,13.08,13.7,13.08,13.438,159.78699170376,11.89068252
1602892800000,2020-10-17 00:00:00,REP/USD,13.539,13.539,13.539,13.539,1094.552142054,80.844386
1602720000000,2020-10-15 00:00:00,REP/USD,13.896,13.896,13.585,13.585,16.932368453000002,1.2464018000000001
1602547200000,2020-10-13 00:00:00,REP/USD,14.346,14.372,13.951,13.951,68.25170092685,4.89224435
1602460800000,2020-10-12 00:00:00,REP/USD,14.07,14.07,14.07,14.07,2.8771489740000002,0.2044882
1602374400000,2020-10-11 00:00:00,REP/USD,14.265,14.449,14.0,14.0,615.4401775200001,43.960012680000006
1602288000000,2020-10-10 00:00:00,REP/USD,14.434,14.434,14.337,14.433,22.590577352609998,1.56520317
1602201600000,2020-10-09 00:00:00,REP/USD,14.05,14.25,14.047,14.25,28.53395604,2.00238288
1602115200000,2020-10-08 00:00:00,REP/USD,13.415,13.538,13.415,13.538,54.954545907239996,4.05928098
1602028800000,2020-10-07 00:00:00,REP/USD,13.004,13.674,13.004,13.151,53.364195659159996,4.05780516
1601942400000,2020-10-06 00:00:00,REP/USD,13.875,13.921,13.654,13.654,36.93234249592,2.70487348
1601856000000,2020-10-05 00:00:00,REP/USD,14.054,14.353,14.054,14.149,179.07450117678,12.65633622
1601769600000,2020-10-04 00:00:00,REP/USD,13.921,13.921,13.618,13.618,16.924484308820002,1.24280249
1601683200000,2020-10-03 00:00:00,REP/USD,13.602,14.021,13.602,14.021,20.29964628363,1.44780303
1601596800000,2020-10-02 00:00:00,REP/USD,13.871,13.871,12.905,13.056,118.74972962303998,9.09541434
1601510400000,2020-10-01 00:00:00,REP/USD,14.599,14.599,14.422,14.422,25.302720589120003,1.75445296
1601337600000,2020-09-29 00:00:00,REP/USD,14.168,14.168,13.79,13.79,271.97801393349994,19.722843649999998
1601251200000,2020-09-28 00:00:00,REP/USD,14.058,14.755,14.058,14.582,81.01506377284,5.5558266199999995
1601164800000,2020-09-27 00:00:00,REP/USD,14.174,14.196,13.806,13.838,488.80341468815993,35.32327032
1601078400000,2020-09-26 00:00:00,REP/USD,14.571,14.571,14.431,14.431,27.29351380323,1.89131133
1600992000000,2020-09-25 00:00:00,REP/USD,13.771,13.771,13.64,13.711,32.9661497958,2.4043578
1600905600000,2020-09-24 00:00:00,REP/USD,13.392,14.443,13.392,14.443,100.28247966022,6.94332754
1600819200000,2020-09-23 00:00:00,REP/USD,14.671,14.671,12.97,12.97,108.83069400230002,8.39095559
1600732800000,2020-09-22 00:00:00,REP/USD,13.498,13.5,13.332,13.472,555.01864552448,41.197939840000004
1600646400000,2020-09-21 00:00:00,REP/USD,14.24,14.24,12.919,13.547,657.9674685407001,48.56923810000001
1600560000000,2020-09-20 00:00:00,REP/USD,14.531,14.619,14.531,14.619,190.047,13.0
1600473600000,2020-09-19 00:00:00,REP/USD,14.858,14.858,14.858,14.858,6.57294325496,0.44238412
1600387200000,2020-09-18 00:00:00,REP/USD,15.268,15.337,14.977,15.079,79.22175525476,5.25378044
1600300800000,2020-09-17 00:00:00,REP/USD,15.145,15.145,15.034,15.034,105.238,7.0
1600214400000,2020-09-16 00:00:00,REP/USD,14.976,15.787,14.976,15.517,236.59338753219998,15.2473666
1600128000000,2020-09-15 00:00:00,REP/USD,16.226,16.441,16.226,16.441,24.98602610403,1.51973883
1599955200000,2020-09-13 00:00:00,REP/USD,17.165,17.165,16.732,16.732,49.50585034371999,2.9587527099999997
1599868800000,2020-09-12 00:00:00,REP/USD,18.1,18.1,17.609,17.609,44.49823266805001,2.52701645
1599782400000,2020-09-11 00:00:00,REP/USD,16.456,16.456,16.456,16.456,12.14798079792,0.73820982
1599609600000,2020-09-09 00:00:00,REP/USD,15.871,16.124,15.871,16.124,42.00848877708,2.60533917
1599523200000,2020-09-08 00:00:00,REP/USD,15.485,15.485,15.199,15.199,45.62427977316,3.00179484
1599436800000,2020-09-07 00:00:00,REP/USD,14.697,15.6,14.697,15.6,102.952373472,6.599511120000001
1599350400000,2020-09-06 00:00:00,REP/USD,14.878,15.525,14.878,15.225,30.70065754875,2.01646355
1599264000000,2020-09-05 00:00:00,REP/USD,17.421,18.093,14.878,14.878,419.69123295622,28.20884749
