https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETC
1607472000000,2020-12-09 00:00:00,ETC/USD,5.778,6.2209,5.626,6.0813,415393.74341966864,68306.73431991
1607385600000,2020-12-08 00:00:00,ETC/USD,6.1459,6.1459,5.6765,5.7763,239065.69556658273,41387.34061018
1607299200000,2020-12-07 00:00:00,ETC/USD,6.1683,6.2112,6.0532,6.1444,182170.7460845588,29648.25631218
1607212800000,2020-12-06 00:00:00,ETC/USD,6.197,6.2633,6.0208,6.1656,102231.73119712593,16580.98663506
1607126400000,2020-12-05 00:00:00,ETC/USD,5.9535,6.1969,5.9,6.1969,125876.32522119369,20312.78949494
1607040000000,2020-12-04 00:00:00,ETC/USD,6.5523,6.5706,5.867,5.9581,570272.4491848635,95713.80963476
1606953600000,2020-12-03 00:00:00,ETC/USD,6.2286,6.6,6.1668,6.56,1436690.9552908847,219007.76757483
1606867200000,2020-12-02 00:00:00,ETC/USD,6.1604,6.3692,6.0681,6.2297,640330.2527688545,102786.69161739
1606780800000,2020-12-01 00:00:00,ETC/USD,6.7005,6.9578,6.008,6.207,1777550.2118617364,286378.31671689
1606694400000,2020-11-30 00:00:00,ETC/USD,6.3914,6.7794,6.2944,6.7191,2042368.7591917012,303964.6320477
1606608000000,2020-11-29 00:00:00,ETC/USD,6.3049,6.44,6.1224,6.4055,324330.59874108125,50633.14319586
1606521600000,2020-11-28 00:00:00,ETC/USD,6.224,6.47,6.0902,6.321,333985.27119876555,52837.41040955
1606435200000,2020-11-27 00:00:00,ETC/USD,6.15,6.4648,5.9106,6.2156,493310.4355314646,79366.50291709
1606348800000,2020-11-26 00:00:00,ETC/USD,6.9251,7.1,5.6201,6.15,3808118.4259244087,619206.24811779
1606262400000,2020-11-25 00:00:00,ETC/USD,7.2364,7.8639,6.6173,6.9348,11751433.633828294,1694559.84798816
1606176000000,2020-11-24 00:00:00,ETC/USD,6.5326,7.3499,6.4321,7.2463,10255813.94200138,1415317.32635985
1606089600000,2020-11-23 00:00:00,ETC/USD,6.0112,6.5717,5.926,6.5184,4062536.4814405907,623241.36006391
1606003200000,2020-11-22 00:00:00,ETC/USD,6.508,6.6423,5.5863,6.0009,7537656.742791217,1256087.71064194
1605916800000,2020-11-21 00:00:00,ETC/USD,6.0728,6.5416,5.7615,6.5085,3022988.4403322497,464467.76374468
1605830400000,2020-11-20 00:00:00,ETC/USD,5.9107,6.0855,5.8,6.085,458636.5922173794,75371.66675717
1605744000000,2020-11-19 00:00:00,ETC/USD,6.0404,6.13,5.749,5.9133,1048002.772233087,177228.07438031
1605657600000,2020-11-18 00:00:00,ETC/USD,5.7755,6.2856,5.2483,6.0288,4371774.626732221,725148.39217294
1605571200000,2020-11-17 00:00:00,ETC/USD,5.3755,5.9266,5.3755,5.7694,1731702.9500348002,300153.04018352
1605484800000,2020-11-16 00:00:00,ETC/USD,5.041,5.5146,5.0125,5.3756,725714.6793409248,135001.61458087
1605398400000,2020-11-15 00:00:00,ETC/USD,5.023,5.0691,4.9583,5.0434,631552.2644616226,125223.51280121
1605312000000,2020-11-14 00:00:00,ETC/USD,5.1126,5.1653,5.0001,5.0241,159201.6656173124,31687.59889678
1605225600000,2020-11-13 00:00:00,ETC/USD,5.0567,5.1589,5.0101,5.1275,185804.06121865156,36236.77449413
1605139200000,2020-11-12 00:00:00,ETC/USD,5.1023,5.1283,5.0,5.0545,825826.6851802304,163384.44656845
1605052800000,2020-11-11 00:00:00,ETC/USD,5.1494,5.2227,5.1013,5.1377,317750.5397397695,61846.84581423
1604966400000,2020-11-10 00:00:00,ETC/USD,5.0512,5.2168,5.0266,5.147,1218491.6448932185,236738.22515897
1604880000000,2020-11-09 00:00:00,ETC/USD,5.2046,5.2304,4.928,5.0539,512435.7907815161,101394.12944093
1604793600000,2020-11-08 00:00:00,ETC/USD,5.095,5.2786,5.0834,5.2045,423043.2687297901,81284.13271779999
1604707200000,2020-11-07 00:00:00,ETC/USD,5.3886,5.7001,4.9501,5.1073,677234.5363418281,132601.28371974
1604620800000,2020-11-06 00:00:00,ETC/USD,5.1134,5.4686,5.1037,5.3886,518976.28177112946,96310.04004215
1604534400000,2020-11-05 00:00:00,ETC/USD,4.8915,5.1899,4.8151,5.1149,1153434.1069188148,225504.72285261
1604448000000,2020-11-04 00:00:00,ETC/USD,4.9434,4.9797,4.71,4.8821,858026.9659895301,175749.56801162
1604361600000,2020-11-03 00:00:00,ETC/USD,5.033,5.036,4.753,4.9153,1045835.8044922604,212771.51028264
1604275200000,2020-11-02 00:00:00,ETC/USD,5.31,5.3193,4.9714,5.032,811965.7363933614,161360.44045973
1604188800000,2020-11-01 00:00:00,ETC/USD,5.2921,5.318,5.2237,5.2877,1083569.469271379,204922.64486854
1604102400000,2020-10-31 00:00:00,ETC/USD,5.2668,5.3484,5.2361,5.2901,810905.9133856158,153287.44511174
1604016000000,2020-10-30 00:00:00,ETC/USD,5.3987,5.4699,5.2142,5.2668,1211445.8897931287,230015.54830127
1603929600000,2020-10-29 00:00:00,ETC/USD,5.4817,5.5844,5.3928,5.4139,1455269.0171635821,268802.34528964
1603843200000,2020-10-28 00:00:00,ETC/USD,5.6363,5.7283,5.4311,5.4817,418103.93952246115,76272.67809666
1603756800000,2020-10-27 00:00:00,ETC/USD,5.6165,5.684,5.5119,5.6505,309165.81739987695,54714.7716839
1603670400000,2020-10-26 00:00:00,ETC/USD,5.7212,5.783,5.5828,5.616,345896.5820496638,61591.27173249
1603584000000,2020-10-25 00:00:00,ETC/USD,5.7833,5.8,5.6806,5.768,341131.2669167256,59142.0365667
1603497600000,2020-10-24 00:00:00,ETC/USD,5.8079,5.8429,5.701,5.7833,232828.1320846611,40258.69868149
1603411200000,2020-10-23 00:00:00,ETC/USD,5.8889,5.9405,5.7382,5.815,685207.8251120147,117834.53570284
1603324800000,2020-10-22 00:00:00,ETC/USD,5.6743,6.0,5.6527,5.8701,1121463.1128375134,191046.6794156
1603238400000,2020-10-21 00:00:00,ETC/USD,5.4799,5.7515,5.4136,5.6537,728990.6179803574,128940.44925984
1603152000000,2020-10-20 00:00:00,ETC/USD,5.5426,5.5991,5.3928,5.4964,593250.3728760092,107934.35209883
1603065600000,2020-10-19 00:00:00,ETC/USD,5.569,5.6191,5.4189,5.5426,599951.972811348,108243.77960007
1602979200000,2020-10-18 00:00:00,ETC/USD,5.5895,5.652,5.5654,5.5684,229819.83164135876,41272.14848814
1602892800000,2020-10-17 00:00:00,ETC/USD,5.57,5.6942,5.5517,5.5895,693942.5312809115,124151.09245566
1602806400000,2020-10-16 00:00:00,ETC/USD,5.5828,5.6627,5.4168,5.57,1131542.961892645,203149.54432543
1602720000000,2020-10-15 00:00:00,ETC/USD,5.686,5.7499,5.572,5.5828,644838.1792825317,115504.43850443
1602633600000,2020-10-14 00:00:00,ETC/USD,5.8069,5.8387,5.6748,5.6886,831147.9737038786,146107.6492817
1602547200000,2020-10-13 00:00:00,ETC/USD,5.9186,5.9192,5.695,5.7751,537090.0615217582,93000.99764883
