https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1600905600000,2020-09-24 00:00:00,XLM/USD,0.067301,0.070866,0.066882,0.070441,37105.523271308746,526760.31389828
1600819200000,2020-09-23 00:00:00,XLM/USD,0.072,0.072163,0.067232,0.067538,44938.29445461888,665377.92730935
1600732800000,2020-09-22 00:00:00,XLM/USD,0.07,0.072312,0.069671,0.072055,20884.422682191525,289840.02057028003
1600646400000,2020-09-21 00:00:00,XLM/USD,0.077593,0.077593,0.069277,0.071277,106962.59816574014,1500660.77648807
1600560000000,2020-09-20 00:00:00,XLM/USD,0.078665,0.078665,0.075503,0.076741,33489.42386342192,436395.45827422
1600473600000,2020-09-19 00:00:00,XLM/USD,0.078127,0.079427,0.07746,0.078702,26863.006520118146,341325.58918602
1600387200000,2020-09-18 00:00:00,XLM/USD,0.080835,0.080835,0.077521,0.077604,35073.1661351553,451950.49398427
1600300800000,2020-09-17 00:00:00,XLM/USD,0.081178,0.082185,0.07851,0.080742,28950.043374265064,358549.99101168
1600214400000,2020-09-16 00:00:00,XLM/USD,0.076842,0.08135,0.075448,0.080139,57670.8632977261,719635.42467121
1600128000000,2020-09-15 00:00:00,XLM/USD,0.080011,0.081618,0.077694,0.078014,18752.884998833048,240378.45769776
1600041600000,2020-09-14 00:00:00,XLM/USD,0.079487,0.08219,0.078965,0.080023,68103.50506507019,851049.13668658
1599955200000,2020-09-13 00:00:00,XLM/USD,0.083431,0.084601,0.079399,0.080004,43509.964997814815,543847.37010418
1599868800000,2020-09-12 00:00:00,XLM/USD,0.083653,0.084639,0.08241,0.083768,64520.99750157894,770234.42724643
1599782400000,2020-09-11 00:00:00,XLM/USD,0.081805,0.084235,0.079825,0.083463,66408.0800508196,795658.91533757
1599696000000,2020-09-10 00:00:00,XLM/USD,0.078899,0.083345,0.078899,0.080728,54484.237057201106,674911.27065208
1599609600000,2020-09-09 00:00:00,XLM/USD,0.077635,0.07976,0.075948,0.078258,45734.1598848638,584402.35994868
1599523200000,2020-09-08 00:00:00,XLM/USD,0.07897,0.079405,0.075205,0.077208,69941.9665812095,905890.14844588
1599436800000,2020-09-07 00:00:00,XLM/USD,0.077673,0.0792,0.0741261,0.078234,33630.270023227524,429867.70487547
1599350400000,2020-09-06 00:00:00,XLM/USD,0.075273,0.07886,0.072235,0.077477,54141.29464995968,698804.73753449
1599264000000,2020-09-05 00:00:00,XLM/USD,0.081023,0.082866,0.073129,0.075633,162449.75231227264,2147868.68578891
1599177600000,2020-09-04 00:00:00,XLM/USD,0.077993,0.08264,0.075001,0.081026,291467.2442383258,3597206.38114094
