https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1599955200000,2020-09-13 00:00:00,BTC/USD,10459.0,10623.0,10231.0,10331.0,41788746.50778474,4044.98562654
1599868800000,2020-09-12 00:00:00,BTC/USD,10404.94752176,10492.0,10287.0,10458.0,14998371.53415804,1434.15294838
1599782400000,2020-09-11 00:00:00,BTC/USD,10354.0,10438.0,10197.0,10405.0,25684525.680089753,2468.47916195
1599696000000,2020-09-10 00:00:00,BTC/USD,10241.0,10516.0,10233.0879672,10355.0,36801412.97181425,3553.97517835
1599609600000,2020-09-09 00:00:00,BTC/USD,10150.0,10359.0,10010.0,10240.0,24638949.354598403,2406.14739791
1599523200000,2020-09-08 00:00:00,BTC/USD,10400.0,10464.0,9882.4,10148.0,68612032.0387176,6761.1383562
1599436800000,2020-09-07 00:00:00,BTC/USD,10275.9676,10430.0,9913.8,10397.0,65521389.662947826,6301.95149206
1599350400000,2020-09-06 00:00:00,BTC/USD,10197.0,10365.07422046,10031.0,10276.0,28317192.9998174,2755.66300115
1599264000000,2020-09-05 00:00:00,BTC/USD,10484.07051575,10593.0,9925.5,10196.86489828,86745892.7098168,8507.11405664
1599177600000,2020-09-04 00:00:00,BTC/USD,10166.13513,10644.0,9965.7,10484.74763252,142482533.466982,13589.50529482
